205 1.07731 0.14700 0.85089 0.11217 0.27642 −0.27861 0.17437 0.81199
215 1.04749 0.09769 1.04495 0.06266 0.44951 −1.31326 2.39714 −0.53880
225 1.11641 0.06163 0.97186 0.04573 0.26022 −0.34716 0.79494 0.26854
235 0.95137 0.08046 1.02503 0.05374 0.44189 −0.57725 1.16157 −0.07411
245 1.09086 0.03881 0.94739 0.04950 0.54045 −1.11394 2.37372 −0.82917
255 0.93706 0.08189 0.98717 0.05082 0.48574 −0.52757 1.52725 −0.54102
265 1.05554 0.07504 1.01539 0.03792 0.33614 −0.12161 1.23718 −0.49873
275 0.92522 0.06059 1.01556 0.04516 0.51787 −0.22060 0.71649 −0.07533
285 0.95923 0.04902 0.97523 0.03401 0.47085 −0.29824 1.30007 −0.53323
295 1.00307 0.02041 1.00242 0.02578 0.43969 −0.17729 1.45827 −0.79410
305 1.06577 0.01350 1.03449 0.02395 0.40399 0.12345 0.91689 −0.53110
315 0.99512 0.02188 0.97180 0.02567 0.34789 0.38909 0.43002 −0.26221
325 1.05841 0.01795 1.01076 0.01979 0.41584 0.42379 0.33271 −0.27752
335 0.98227 0.01837 1.00338 0.01746 0.32808 0.83687 −0.47180 0.19469
345 0.99562 0.01689 0.98657 0.02122 0.50090 0.47375 −0.04764 −0.04352
355 1.03245 0.01882 0.99715 0.02232 0.49485 0.49152 −0.08977 −0.02466
365 1.00155 0.01805 1.00064 0.01927 0.49130 0.55355 −0.23093 0.04401
375 1.00250 0.01921 1.01414 0.02044 0.51901 0.65211 −0.42396 0.11740
385 1.04525 0.01217 0.99727 0.01692 0.44683 0.40462 0.26623 −0.24303
395 0.93250 0.03636 1.03279 0.02120 0.48246 0.16780 0.44794 −0.21622
405 1.03092 0.01341 1.02334 0.01455 0.48142 0.45253 0.03247 −0.08316
415 1.01568 0.01890 1.00675 0.01593 0.43310 0.43124 0.12149 −0.10687
425 1.03996 0.01103 1.01964 0.01239 0.47865 0.31563 0.19400 −0.11728
435 1.02160 0.00993 1.03207 0.01504 0.50686 0.42439 −0.02042 −0.06239
445 1.02758 0.01111 1.01087 0.01519 0.62723 0.00768 0.49756 −0.26869
455 1.03755 0.01292 1.03748 0.01523 0.66796 −0.03296 0.39110 −0.16936
465 1.03632 0.00862 1.04188 0.01242 0.64089 0.10690 0.17586 −0.07282
475 1.03320 0.01313 1.01325 0.01207 0.68519 0.04928 0.14144 −0.03468
485 1.02089 0.01256 1.02408 0.01507 0.79901 −0.19234 0.36598 −0.16162
495 1.04370 0.01210 1.02236 0.01338 0.77433 −0.20489 0.40845 −0.15622
505 1.03363 0.01274 1.00958 0.01437 0.71140 −0.05044 0.22921 −0.08213
515 1.06672 0.01122 1.03961 0.01399 0.64107 −0.00460 0.31643 −0.15507
525 1.02409 0.01215 1.01568 0.01591 0.73764 −0.16794 0.39393 −0.17123
535 1.03226 0.00823 1.03075 0.01383 0.79821 −0.32921 0.54626 −0.23226
545 1.05347 0.01105 1.04898 0.01551 0.82715 −0.38564 0.54019 −0.20221
555 1.04829 0.01132 1.06219 0.01434 0.81141 −0.35516 0.49708 −0.18347
565 1.04683 0.01666 1.02657 0.01682 0.82890 −0.41148 0.54895 −0.20500
575 1.03509 0.01478 0.98730 0.01769 0.84535 −0.43068 0.52234 −0.18103
585 1.07381 0.01539 1.05872 0.01698 0.83910 −0.44512 0.56000 −0.20974
595 1.04651 0.01203 1.04453 0.01652 0.88137 −0.54670 0.63637 −0.22889
605 1.04134 0.01189 1.03169 0.01478 0.88844 −0.57180 0.65069 −0.23386
615 1.03707 0.01348 1.00632 0.01922 0.81257 −0.38094 0.42040 −0.13042
625 1.01444 0.01252 0.98434 0.01837 0.87418 −0.59117 0.70278 −0.27158
635 1.01662 0.01658 1.02845 0.01979 0.87714 −0.58646 0.66610 −0.24723
645 1.02919 0.01724 1.00875 0.01949 0.86284 −0.56322 0.65497 −0.25552
655 1.06727 0.01847 1.05593 0.02030 0.95153 −0.74127 0.72558 −0.26379
665 1.00227 0.01846 1.02700 0.02128 0.90248 −0.67572 0.74030 −0.27779
675 1.03065 0.01782 1.03617 0.02138 0.87733 −0.62328 0.65601 −0.22774
685 1.01072 0.01601 0.94646 0.02119 0.88769 −0.66447 0.70310 −0.25098
695 1.01402 0.02043 1.00378 0.02471 0.89369 −0.70395 0.75795 −0.27823
705 1.07414 0.01838 1.07324 0.02316 0.88686 −0.68657 0.72303 −0.26083
715 1.03237 0.02539 0.99668 0.02136 0.87414 −0.65906 0.67614 −0.23359
725 1.04279 0.02215 1.03922 0.02722 0.89617 −0.72378 0.74812 −0.26705
735 1.02738 0.01973 1.03978 0.02539 0.89467 −0.73795 0.77170 −0.28323
745 1.04238 0.01927 1.01427 0.03020 0.86509 −0.64972 0.65973 −0.23664
755 1.04771 0.02398 1.02146 0.02712 0.89132 −0.75184 0.79302 −0.29984
765 1.06149 0.01834 0.98611 0.03130 0.88774 −0.75638 0.78905 −0.29437
775 1.05751 0.02014 1.09123 0.02938 0.88279 −0.73219 0.73173 −0.25886
785 1.10846 0.02307 1.10165 0.03805 0.88973 −0.77932 0.81639 −0.31113
